anim	id	jum	jumtrt	trt	dgr2
2	6	1	11	1	0
81	7.5	1	11	1	1
210	5.5	1	11	1	0
161	12	2	21	1	1
36	8	2	21	1	1
57	8	3	31	1	0
26	12	3	31	1	1
111	13	3	31	1	0
145	10.5	3	31	1	1
64	7.5	3	31	1	0
177	6	3	31	1	1
92	7.5	3	31	1	0
8	3.5	3	31	1	1
261	12	3	31	1	0
145	10.5	3	31	1	0
177	6	3	31	1	1
179	13	1	11	1	0
103	12	1	11	1	1
132	3.5	1	11	1	0
75A	7	1	11	1	0
186	9.5	1	11	1	1
94	8	1	11	1	1
116	5	1	11	1	0
59	7	1	11	1	1
188	7	1	11	1	0
137	3.5	1	11	1	0
43	7	1	11	1	1
75B	7	1	11	1	0
45	14	1	11	1	0
214	6	1	11	1	0
77	3.5	1	11	1	1
87	8	2	21	1	0
170	7	2	21	1	0
23	7	2	21	1	1
11	8	2	21	1	0
141	8.5	2	21	1	0
39	7	2	21	1	0
182	2.5	2	21	1	0
104	9	2	21	1	0
1	6.5	3	31	1	1
9	14	3	31	1	1
181	3.5	3	31	1	1
78	6	3	31	1	0
120	7.5	3	31	1	1
185	7	3	31	1	1
8	3.5	3	31	1	1
31	6	3	31	1	1
261	12	3	31	1	1
152	3.5	3	31	1	1
49	6.5	3	31	1	0
103	12	1	11	1	1
94	8	1	11	1	1
43	7	1	11	1	1
36	8	2	21	1	0
26	12	3	31	1	0
181	3.5	3	31	1	1
177	6	3	31	1	1
145	10.5	3	31	1	1
9	14	3	31	1	0
120	7.5	3	31	1	0
185	7	3	31	1	0
31	6	3	31	1	1
152	3.5	3	31	1	1
1	6.5	3	31	1	1
181	3.5	3	31	1	1
8	3.5	3	31	1	1
181	3.5	3	31	1	0
134	3.5	1	11	1	0
5	7	1	11	1	1
591	7	2	21	1	0
179	13	1	11	1	.
103	12	1	11	1	.
132	3.5	1	11	1	.
75A	7	1	11	1	.
186	9.5	1	11	1	.
94	8	1	11	1	.
116	5	1	11	1	.
59	7	1	11	1	.
134	3.5	1	11	1	.
188	7	1	11	1	.
137	3.5	1	11	1	.
43	7	1	11	1	.
5	7	1	11	1	.
75B	7	1	11	1	.
45	14	1	11	1	.
214	6	1	11	1	.
77	3.5	1	11	1	.
87	8	2	21	1	.
591	7	2	21	1	.
170	7	2	21	1	.
23	7	2	21	1	.
11	8	2	21	1	.
141	8.5	2	21	1	.
39	7	2	21	1	.
182	2.5	2	21	1	.
104	9	2	21	1	.
1	6.5	3	31	1	.
9	14	3	31	1	.
181	3.5	3	31	1	.
78	6	3	31	1	.
120	7.5	3	31	1	.
185	7	3	31	1	.
8	3.5	3	31	1	.
31	6	3	31	1	.
261	12	3	31	1	.
152	3.5	3	31	1	.
49	6.5	3	31	1	.
134	3.5	1	11	1	.
5	7	1	11	1	.
591	7	2	21	1	.
5	7	1	11	1	0
161	12	2	21	1	1
1	6.5	3	31	1	1
103	12	1	11	1	.
94	8	1	11	1	.
43	7	1	11	1	.
5	7	1	11	1	.
161	12	2	21	1	.
36	8	2	21	1	.
1	6.5	3	31	1	.
26	12	3	31	1	.
181	3.5	3	31	1	.
177	6	3	31	1	.
145	10.5	3	31	1	.
9	14	3	31	1	.
120	7.5	3	31	1	.
185	7	3	31	1	.
31	6	3	31	1	.
152	3.5	3	31	1	.
5	7	1	11	1	.
161	12	2	21	1	.
1	6.5	3	31	1	.
5	7	1	11	1	.
1	6.5	3	31	1	.
1	6.5	3	31	1	.
181	3.5	3	31	1	.
8	3.5	3	31	1	.
181	3.5	3	31	1	.
206	8	1	12	2	0
102	12	2	22	2	0
95	6.5	2	22	2	1
119	9	2	22	2	0
109	14	3	32	2	1
65	4.5	3	32	2	0
140	3.5	3	32	2	0
143	6.5	3	32	2	0
61	6	3	32	2	0
96	7	1	12	2	1
83	7.5	1	12	2	0
371	8	2	22	2	1
80	7.5	3	32	2	1
189	7.5	3	32	2	0
42	12	1	12	2	0
70	5	1	12	2	0
146	6.5	1	12	2	0
136	7.5	1	12	2	0
114	7	1	12	2	0
130	6.5	1	12	2	0
187	10	1	12	2	0
83	7.5	1	12	2	1
37	8	1	12	2	0
191	4.5	1	12	2	0
193	3.5	1	12	2	0
333	3.5	1	12	2	0
110	13	1	12	2	0
212	4	1	12	2	1
371	8	2	22	2	1
172	8	2	22	2	1
32	6	2	22	2	0
67	8	2	22	2	0
101	7	2	22	2	0
171	8.5	2	22	2	0
21	12	2	22	2	1
