pecan	trat	rep	unE	ph	turb1	turb
1	1	1	111	4.55	0	1.0E-07
1	2	1	121	6.28	0.2	0.2
1	3	1	131	6.27	0.4	0.4
1	4	1	141	6.13	0.9	0.9
1	5	1	151	6.3	0	1.0E-07
1	1	1	111	4.82	0.4	0.4
1	2	1	121	6.09	0.4	0.4
1	3	1	131	6.35	0.3	0.3
1	4	1	141	6.25	1.1	1.1
1	5	1	151	5.65	0	1.0E-07
1	1	1	111	4.91	0.3	0.3
1	2	1	121	6.17	0.4	0.4
1	3	1	131	6.15	0.4	0.4
1	4	1	141	6.07	0.8	0.8
1	5	1	151	6.58	0	1.0E-07
1	1	1	111	4.78	0	1.0E-07
1	2	1	121	5.99	0.3	0.3
1	3	1	131	6.03	0.4	0.4
1	4	1	141	5.9	0.4	0.4
1	5	1	151	6.1	0	1.0E-07
1	1	1	111	4.77	0.1	0.1
1	2	1	121	5.9	0.4	0.4
1	3	1	131	5.63	0.4	0.4
1	4	1	141	6.31	0.6	0.6
1	5	1	151	5.53	0.1	0.1
1	1	1	111	4.8	0.2	0.2
1	2	1	121	5.77	1	1
1	3	1	131	5.73	0.5	0.5
1	4	1	141	6.09	0.6	0.6
1	1	1	111	4.76	0	1.0E-07
1	2	1	121	5.79	0.7	0.7
1	3	1	131	5.63	0.7	0.7
1	4	1	141	6	0.4	0.4
1	1	1	111	4.52	0.1	0.1
1	2	1	121	5.59	0.7	0.7
1	3	1	131	5.7	0.6	0.6
1	4	1	141	5.79	0.3	0.3
1	1	1	111	4.3	0.1	0.1
1	2	1	121	5.54	0.8	0.8
1	3	1	131	5.69	0.7	0.7
1	4	1	141	5.76	1.2	1.2
1	1	1	111	4.25	0.1	0.1
1	2	1	121	5.62	1.1	1.1
1	3	1	131	5.22	1.4	1.4
1	4	1	141	6.08	2.4	2.4
1	1	1	111	4.84	0.2	0.2
1	2	1	121	5.72	1	1
1	3	1	131	5.75	1.6	1.6
1	4	1	141	5.87	0.9	0.9
1	1	1	111	4.73	0.1	0.1
1	2	1	121	5.57	1.1	1.1
1	3	1	131	5.66	1.4	1.4
1	4	1	141	5.83	2.4	2.4
1	1	1	111	4.6	0.1	0.1
1	2	1	121	5.54	0.8	0.8
1	3	1	131	5.75	1	1
1	4	1	141	5.95	0.9	0.9
1	1	1	111	4.77	0.1	0.1
1	2	1	121	5.4	1.4	1.4
1	3	1	131	5.71	1	1
1	4	1	141	5.79	1.6	1.6
1	1	1	111	4.66	0.1	0.1
1	2	1	121	5.61	1.2	1.2
1	3	1	131	5.72	1	1
1	4	1	141	6.01	1.8	1.8
1	1	1	111	4.6	0.1	0.1
1	2	1	121	5.46	1	1
1	3	1	131	5.68	1.3	1.3
1	4	1	141	5.73	0.6	0.6
1	1	2	211	4.61	0	1.0E-07
1	2	2	221	6.27	0.3	0.3
1	3	2	231	6.33	0.3	0.3
