animal	sexo	controle	idade	peso
8	2	1	0	37
8	2	2	1	42
8	2	3	7	75
8	2	4	14	146
8	2	5	21	205
8	2	6	28	242
8	2	7	35	302
8	2	8	42	494
8	2	9	49	683
8	2	10	56	800
8	2	11	63	960
8	2	11	70	1140
8	2	13	77	1275
8	2	14	84	1286
8	2	15	90	1395
44	2	1	0	40
44	2	2	1	48
44	2	4	14	162
44	2	5	21	361
44	2	6	28	467
44	2	7	35	648
44	2	8	42	725
44	2	9	49	950
44	2	10	56	1055
44	2	11	63	1260
44	2	12	70	1235
44	2	13	77	1280
44	2	14	84	1300
64	2	1	0	36
64	2	2	1	43
64	2	3	7	90
64	2	4	14	173
64	2	5	21	238
64	2	6	28	271
64	2	7	35	540
64	2	8	42	820
64	2	9	49	990
64	2	10	56	1098
64	2	11	63	1380
64	2	12	70	1440
64	2	13	77	1510
64	2	14	84	1615
64	2	15	90	1630
65	1	1	0	36
65	1	2	1	42
65	1	3	7	84
65	1	4	14	186
65	1	5	21	297
65	1	6	28	381
65	1	7	35	722
65	1	8	42	1180
65	1	9	49	1415
65	1	10	56	1590
65	1	11	63	2140
65	1	12	70	2195
65	1	13	77	2435
65	1	14	84	2650
65	1	15	90	2665
66	2	1	0	42
66	2	2	1	48
66	2	3	7	92
66	2	4	14	186
66	2	5	21	228
66	2	6	28	247
66	2	7	35	457
66	2	8	42	660
66	2	9	49	960
66	2	10	56	960
66	2	11	63	1480
66	2	12	70	1575
66	2	13	77	1650
66	2	14	84	1827
66	2	15	90	1830
67	1	1	0	45
67	1	2	1	49
67	1	3	7	80
67	1	4	14	147
67	1	5	21	212
67	1	6	28	279
67	1	7	35	601
67	1	8	42	1060
67	1	9	49	1350
67	1	10	56	1464
67	1	11	63	1980
67	1	12	70	2340
67	1	13	77	2525
67	1	14	84	2780
67	1	15	90	2940
68	2	1	0	39
68	2	2	1	48
68	2	3	7	114
68	2	4	14	180
68	2	5	21	262
68	2	6	28	335
68	2	7	35	452
68	2	8	42	685
68	2	9	49	916
68	2	10	56	1140
68	2	11	63	1380
68	2	12	70	1480
68	2	13	77	1540
68	2	14	84	1498
68	2	15	90	1590
69	1	1	0	46
69	1	2	1	52
69	1	3	7	94
69	1	4	14	200
69	1	5	21	256
69	1	6	28	304
69	1	7	35	387
69	1	8	42	720
69	1	9	49	951
69	1	10	56	1250
69	1	11	63	1540
69	1	12	70	1960
69	1	13	77	2230
69	1	14	84	2369
69	1	15	90	2675
70	2	1	0	31
70	2	2	1	41
70	2	3	7	112
70	2	4	14	242
70	2	5	21	352
70	2	6	28	420
70	2	7	35	592
70	2	8	42	940
70	2	9	49	1098
70	2	10	56	1310
70	2	11	63	1460
70	2	12	70	1720
70	2	13	77	1810
70	2	14	84	1767
70	2	15	90	1885
71	1	1	0	33
71	1	2	1	44
71	1	3	7	120
71	1	4	14	196
71	1	5	21	248
71	1	6	28	278
71	1	7	35	374
71	1	8	42	820
71	1	9	49	1156
71	1	10	56	1445
71	1	11	63	1700
71	1	12	70	2000
71	1	13	77	2290
71	1	14	84	2321
71	1	15	90	2660
72	2	1	0	31
72	2	2	1	42
72	2	3	7	116
72	2	4	14	190
72	2	5	21	265
72	2	6	28	290
72	2	7	35	372
72	2	8	42	760
72	2	9	49	936
72	2	10	56	1175
72	2	11	63	1340
72	2	12	70	1440
72	2	13	77	1540
72	2	14	84	1513
72	2	15	90	1625
73	1	1	0	40
73	1	2	1	49
73	1	3	7	114
73	1	4	14	244
73	1	5	21	353
73	1	6	28	427
73	1	7	35	591
73	1	8	42	1040
73	1	9	49	1316
73	1	10	56	1615
73	1	11	63	1980
73	1	12	70	2180
73	1	13	77	2380
73	1	14	84	2343
73	1	15	90	2695
74	1	1	0	50
74	1	2	1	59
74	1	3	7	124
74	1	4	14	272
74	1	5	21	348
74	1	6	28	412
74	1	7	35	556
74	1	8	42	1080
74	1	9	49	1418
74	1	10	56	1560
74	1	11	63	1720
75	2	1	0	48
75	2	2	1	57
75	2	3	7	122
75	2	4	14	259
75	2	5	21	361
75	2	6	28	467
75	2	7	35	603
75	2	8	42	1020
75	2	9	49	1155
75	2	10	56	1290
75	2	11	63	1480
75	2	12	70	1540
75	2	13	77	1640
75	2	14	84	1598
75	2	15	90	1690
76	2	1	0	43
76	2	2	1	51
76	2	3	7	109
76	2	4	14	245
76	2	5	21	320
76	2	6	28	372
76	2	7	35	452
76	2	8	42	880
76	2	9	49	1019
76	2	10	56	1205
76	2	11	63	1340
76	2	12	70	1500
76	2	13	77	1665
76	2	14	84	2540
76	2	15	90	1760
77	2	1	0	42
77	2	2	1	52
